Draw Date,Draw Day,Main Number 1,Main Number 2,Main Number 3,Main Number 4,Main Number 5,Lucky Star 1,Lucky Star 2
13/02/2004,Friday,16,29,32,36,41,7,9
20/02/2004,Friday,7,13,39,47,50,2,5
27/02/2004,Friday,14,18,19,31,37,4,5
05/03/2004,Friday,4,7,33,37,39,1,5
12/03/2004,Friday,15,24,28,44,47,4,5
19/03/2004,Friday,33,36,37,42,45,4,9
26/03/2004,Friday,3,4,10,23,43,2,4
02/04/2004,Friday,4,12,24,27,36,2,9
09/04/2004,Friday,1,4,10,19,23,2,8
16/04/2004,Friday,14,15,28,35,40,1,3
23/04/2004,Friday,6,10,21,45,49,3,5
30/04/2004,Friday,5,6,16,23,27,6,7
07/05/2004,Friday,15,16,21,36,38,1,5
14/05/2004,Friday,1,3,21,32,39,2,6
21/05/2004,Friday,15,29,37,39,49,4,9
28/05/2004,Friday,6,11,35,41,44,5,6
04/06/2004,Friday,9,13,34,41,42,3,7
11/06/2004,Friday,2,7,8,10,47,1,7
18/06/2004,Friday,2,23,28,40,43,2,6
25/06/2004,Friday,3,21,30,34,35,1,2
02/07/2004,Friday,4,23,24,28,34,1,3
09/07/2004,Friday,2,5,12,19,44,8,9
16/07/2004,Friday,24,26,31,38,50,5,8
23/07/2004,Friday,7,10,27,31,34,3,8
30/07/2004,Friday,9,10,19,37,50,1,6
06/08/2004,Friday,5,15,24,35,44,5,6
13/08/2004,Friday,20,27,41,43,50,5,8
20/08/2004,Friday,6,9,10,27,35,6,8
27/08/2004,Friday,1,11,22,28,44,1,9
03/09/2004,Friday,8,12,14,15,34,6,7
10/09/2004,Friday,5,25,33,36,38,2,5
17/09/2004,Friday,15,18,29,39,41,5,8
24/09/2004,Friday,21,26,27,44,48,1,7
01/10/2004,Friday,12,20,21,45,48,5,6
08/10/2004,Friday,1,10,12,16,48,2,6
15/10/2004,Friday,14,21,22,37,43,5,8
22/10/2004,Friday,1,9,23,25,40,3,9
29/10/2004,Friday,1,8,32,35,38,4,9
05/11/2004,Friday,6,19,25,42,49,1,7
12/11/2004,Friday,4,11,12,13,32,3,9
19/11/2004,Friday,1,18,29,34,37,2,6
26/11/2004,Friday,1,4,24,34,36,6,8
03/12/2004,Friday,1,11,15,42,49,3,4
10/12/2004,Friday,1,3,13,16,43,2,7
17/12/2004,Friday,15,19,22,46,49,2,9
24/12/2004,Friday,3,4,27,29,37,5,6
31/12/2004,Friday,7,8,24,25,47,8,9
07/01/2005,Friday,3,23,27,47,50,2,3
14/01/2005,Friday,6,11,14,19,29,1,3
21/01/2005,Friday,10,12,14,24,26,5,8
28/01/2005,Friday,7,21,26,43,45,5,7
04/02/2005,Friday,1,8,11,30,40,7,8
11/02/2005,Friday,11,13,25,32,50,4,7
18/02/2005,Friday,20,21,26,32,46,8,9
25/02/2005,Friday,3,27,30,43,44,4,8
04/03/2005,Friday,12,24,32,37,39,7,9
11/03/2005,Friday,8,12,23,40,43,1,4
18/03/2005,Friday,6,23,39,43,48,5,7
25/03/2005,Friday,4,29,33,37,38,6,9
01/04/2005,Friday,25,26,41,44,47,3,7
08/04/2005,Friday,7,11,25,31,50,1,3
15/04/2005,Friday,6,28,31,38,42,3,9
22/04/2005,Friday,3,10,13,24,47,5,9
29/04/2005,Friday,3,9,35,39,42,1,8
06/05/2005,Friday,7,12,21,26,44,6,8
13/05/2005,Friday,12,17,31,32,40,2,9
20/05/2005,Friday,6,7,13,28,47,5,8
27/05/2005,Friday,2,24,31,48,50,4,9
03/06/2005,Friday,3,8,11,17,50,1,5
10/06/2005,Friday,6,7,32,37,47,1,7
17/06/2005,Friday,4,8,10,18,21,1,7
24/06/2005,Friday,6,8,14,15,45,7,8
